contrast_0,contrast_45,contrast_90,contrast_135,dissimilarity_0,dissimilarity_45,dissimilarity_90,dissimilarity_135,homogeneity_0,homogeneity_45,homogeneity_90,homogeneity_135,energy_0,energy_45,energy_90,energy_135,correlation_0,correlation_45,correlation_90,correlation_135,entropy_0,entropy_45,entropy_90,entropy_135,asm_0,asm_45,asm_90,asm_135,labels
715816961.0000005,5592320.999999888,0.935886942032093,0.8643695449154409,0.7772799657038514,0.7387853834485009,0.8643695449154409,715816961.0000148,5592321.000000044,0.9314237612218024,0.859730207814036,0.7230232631077915,0.7612319277151132,0.859730207814036,715816961.0000026,5592320.999999889,0.9346584555734304,0.8631225320181236,0.7627092149770962,0.7441319645848806,0.8631225320181236,715816961.0000143,5592321.000000053,0.9315914514989934,0.8591457847740369,0.7198809584456303,0.7635369805587169,0.8591457847740369,gundul
715816961.000002,5592320.9999999,0.9448548264533073,0.8848687936980263,0.7873506451330285,0.6363586772254277,0.8848687936980263,715816961.0000135,5592321.000000033,0.9413501342049081,0.8785392703065568,0.7307067784164166,0.6657001301396104,0.8785392703065568,715816961.0000012,5592320.9999998985,0.9440496511515352,0.8810877017552207,0.7645049636573992,0.6514674502388814,0.8810877017552207,715816961.0000138,5592321.000000039,0.9404244744208506,0.878116929896564,0.7270197189966029,0.6698482836134471,0.878116929896564,gundul
715816961.0000002,5592320.999999938,0.9444026357537043,0.8802609962514506,0.6912146958908252,0.6111116811679882,0.8802609962514506,715816961.0000091,5592321.00000002,0.9375292974832136,0.8707255476726236,0.5655449520480428,0.6493139227089065,0.8707255476726236,715816961.0,5592320.999999938,0.9432580651474597,0.8804284161374412,0.6823154025367678,0.6101232766816675,0.8804284161374412,715816961.0000087,5592321.000000013,0.9381964097453042,0.8724055866398147,0.5863262942590878,0.6452897182054241,0.8724055866398147,gundul
715816961.0000001,5592320.999999997,0.9964481582563133,0.9916955972954203,0.7351330094152957,0.04454547210566051,0.9916955972954203,715816961.0000007,5592321.000000001,0.995743408311399,0.9904741335078324,0.5487838445525004,0.050941639283932034,0.9904741335078324,715816960.9999999,5592320.999999996,0.9962657271811015,0.9914282139443201,0.7127614372377683,0.04627600448082665,0.9914282139443201,715816961.0000007,5592320.999999998,0.9957609723958936,0.9906534331566362,0.5721888299364668,0.05022568897262048,0.9906534331566362,gundul
715816961.0,5592320.999999994,0.9942636782695221,0.9876901340780475,0.7284123689126685,0.06265719136451758,0.9876901340780475,715816961.0000006,5592321.0,0.9939778936668486,0.9867130518094878,0.6569360001848012,0.06626910227188093,0.9867130518094878,715816960.9999999,5592320.999999993,0.9943840319842772,0.9878679408835467,0.7544475168994225,0.06190162344790364,0.9878679408835467,715816961.0000002,5592320.999999997,0.9939718092152823,0.9866235074864975,0.6302543456484169,0.06738461267626894,0.9866235074864975,gundul
715816961.0000015,5592320.999999877,0.9206516906531476,0.8378771566846868,0.74126884273588,0.8771430210416663,0.8378771566846868,715816961.0000165,5592321.000000046,0.9172017961620484,0.8314081844923893,0.7020215909260196,0.9068163125656001,0.8314081844923893,715816961.0000005,5592320.999999874,0.920516137941896,0.8367286949036848,0.7514336883217753,0.8869795000423697,0.8367286949036848,715816961.0000168,5592321.000000046,0.9162791205837231,0.8305873895977262,0.6957237954151811,0.9107036004651272,0.8305873895977262,gundul
715816961.0,5592320.999999993,0.995934033281881,0.9909827295066836,0.7195776254062978,0.049928734778514804,0.9909827295066836,715816961.0000011,5592321.000000004,0.9952754737452665,0.9900259361220949,0.6191863622364431,0.0545772697222321,0.9900259361220949,715816961.0000004,5592320.999999992,0.9958381714084981,0.990804617409631,0.697363555341141,0.05073247201112412,0.990804617409631,715816961.0000011,5592321.000000006,0.9953547351029622,0.9901154865317053,0.6016748847007404,0.05421111114609753,0.9901154865317053,gundul
715816961.0000006,5592320.999999983,0.9892524805163955,0.9756327272545333,0.7037879102403058,0.12829869662731586,0.9756327272545333,715816961.0000025,5592321.000000009,0.98748958773234,0.9730695900031223,0.5878593354455627,0.1413344328383022,0.9730695900031223,715816961.0000005,5592320.99999998,0.9885195327950727,0.9749255138657474,0.7035446997181786,0.1332288579220471,0.9749255138657474,715816961.0000024,5592321.000000011,0.9875764004743521,0.9733362072864724,0.5959979279936645,0.14019172873324673,0.9733362072864724,gundul
715816961.0000007,5592320.999999989,0.9942756993100688,0.98733405302064,0.6904172865514357,0.0688120699605664,0.98733405302064,715816961.0000012,5592321.0,0.9936931575084119,0.9862650725276306,0.576661375206983,0.07371962513220467,0.9862650725276306,715816961.0000007,5592320.999999989,0.994372296642803,0.9874229729391619,0.695838502377412,0.06821648430412187,0.9874229729391619,715816961.0000012,5592321.0,0.9935765914962789,0.9859968493910655,0.5565400932686979,0.07427494647828334,0.9859968493910655,gundul
704697600.9999999,5527041.0,0.9987829671900731,0.9973173580769639,0.7743590269624888,0.013853373124904271,0.9973173580769639,704697601.0,5527040.999999999,0.998680278259149,0.9969395947671712,0.6040350727667738,0.015561007032584563,0.9969395947671712,704697600.9999999,5527041.0,0.9987829671900731,0.9973173580769639,0.7743590269624888,0.013853373124904271,0.9973173580769639,704697601.0,5527040.999999999,0.998680278259149,0.9969395947671712,0.6040350727667738,0.015561007032584563,0.9969395947671712,gundul
